Entity,,,,,,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Group Sessions,Group Sessions,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views
Group,,,,,,Aggregate,Aggregate,Account Type,Account Type,Account Type,Account Type,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Aggregate,Aggregate,Triage Level,Triage Level,Triage Level,Triage Level,Triage Level,Triage Level,Crisis Flag,Crisis Flag,Crisis Flag,Crisis Flag,Aggregate,Aggregate,Clinical Level,Clinical Level,Clinical Level,Clinical Level,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Aggregate,Aggregate,Aggregate,Aggregate,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type
Metric,,,,,,Total,Total_Group_Pct,Anonymous,Anonymous_Group_Pct,Verified,Verified_Group_Pct,Anonymous,Anonymous_Group_Pct,Email_password,Email_password_Group_Pct,Penn_key_sso,Penn_key_sso_Group_Pct,Penn_mpm_sso,Penn_mpm_sso_Group_Pct,Penn_sso,Penn_sso_Group_Pct,Total,Total_Group_Pct,Mild,Mild_Group_Pct,Moderate,Moderate_Group_Pct,Severe,Severe_Group_Pct,No,No_Group_Pct,Yes,Yes_Group_Pct,Total,Total_Group_Pct,Clinical,Clinical_Group_Pct,Sub-clinical,Sub-clinical_Group_Pct,Care_manager,Care_manager_Group_Pct,Chaplain,Chaplain_Group_Pct,Clinician,Clinician_Group_Pct,Coach,Coach_Group_Pct,Other,Other_Group_Pct,Peer,Peer_Group_Pct,Psychiatrist,Psychiatrist_Group_Pct,Psychologist,Psychologist_Group_Pct,Undefined,Undefined_Group_Pct,Total,Total_Group_Pct,Total,Total_Group_Pct,App,App_Group_Pct,Article,Article_Group_Pct,Podcast,Podcast_Group_Pct,Video,Video_Group_Pct,Worksheet,Worksheet_Group_Pct
Year,Month,Screening Session,Connect with Support,In the Studio,On Your Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,5,0,0,0,1,315.0,1.0,206.0,0.653968253968254,109.0,0.346031746031746,206.0,0.653968253968254,0.0,0.0,11.0,0.03492063492063492,0.0,0.0,98.0,0.3111111111111111,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,563.0,1.0,0.0,0.0,250.0,0.44404973357015987,170.0,0.3019538188277087,104.0,0.1847246891651865,39.0,0.06927175843694494
2020,5,0,0,1,0,40.0,1.0,0.0,0.0,40.0,1.0,0.0,0.0,0.0,0.0,5.0,0.125,0.0,0.0,35.0,0.875,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2020,5,0,0,1,1,28.0,1.0,1.0,0.03571428571428571,27.0,0.9642857142857143,1.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.9642857142857143,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,68.0,1.0,0.0,0.0,40.0,0.5882352941176471,12.0,0.17647058823529413,11.0,0.16176470588235295,5.0,0.07352941176470588
2020,5,0,1,0,0,27.0,1.0,22.0,0.8148148148148148,5.0,0.18518518518518517,22.0,0.8148148148148148,0.0,0.0,3.0,0.1111111111111111,0.0,0.0,2.0,0.07407407407407407,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,36.0,1.0,23.0,0.6388888888888888,13.0,0.3611111111111111,0.0,0.0,0.0,0.0,14.0,0.3888888888888889,12.0,0.3333333333333333,0.0,0.0,1.0,0.027777777777777776,9.0,0.25,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2020,5,0,1,0,1,8.0,1.0,7.0,0.875,1.0,0.125,7.0,0.875,0.0,0.0,1.0,0.125,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,10.0,1.0,8.0,0.8,2.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.2,0.0,0.0,0.0,0.0,8.0,0.8,0.0,0.0,0.0,0.0,0.0,,8.0,1.0,0.0,0.0,7.0,0.875,1.0,0.125,0.0,0.0,0.0,0.0
2020,5,0,1,1,0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2020,5,0,1,1,1,6.0,1.0,2.0,0.3333333333333333,4.0,0.6666666666666666,2.0,0.3333333333333333,0.0,0.0,1.0,0.16666666666666666,0.0,0.0,3.0,0.5,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,3.0,1.0,2.0,0.6666666666666666,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,2.0,0.6666666666666666,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,13.0,1.0,0.0,0.0,7.0,0.5384615384615384,1.0,0.07692307692307693,4.0,0.3076923076923077,1.0,0.07692307692307693
2020,5,1,0,0,0,43.0,1.0,16.0,0.37209302325581395,27.0,0.627906976744186,16.0,0.37209302325581395,0.0,0.0,5.0,0.11627906976744186,0.0,0.0,22.0,0.5116279069767442,37.0,1.0,24.0,0.6486486486486487,12.0,0.32432432432432434,1.0,0.02702702702702703,35.0,0.9459459459459459,2.0,0.05405405405405406,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2020,5,1,0,0,1,14.0,1.0,7.0,0.5,7.0,0.5,7.0,0.5,0.0,0.0,1.0,0.07142857142857142,0.0,0.0,6.0,0.42857142857142855,12.0,1.0,7.0,0.5833333333333334,4.0,0.3333333333333333,1.0,0.08333333333333333,11.0,0.9166666666666666,1.0,0.08333333333333333,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,30.0,1.0,0.0,0.0,19.0,0.6333333333333333,8.0,0.26666666666666666,0.0,0.0,3.0,0.1
2020,5,1,0,1,0,3.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2020,5,1,0,1,1,4.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,6.0,1.0,0.0,0.0,4.0,0.6666666666666666,1.0,0.16666666666666666,1.0,0.16666666666666666,0.0,0.0
