Entity,,,,,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Group Sessions,Group Sessions,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views
Group,,,,,Aggregate,Aggregate,Account Type,Account Type,Account Type,Account Type,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Aggregate,Aggregate,Triage Level,Triage Level,Triage Level,Triage Level,Triage Level,Triage Level,Crisis Flag,Crisis Flag,Crisis Flag,Crisis Flag,Aggregate,Aggregate,Clinical Level,Clinical Level,Clinical Level,Clinical Level,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Aggregate,Aggregate,Aggregate,Aggregate,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type
Metric,,,,,Total,Total_Studio_Pct,Anonymous,Anonymous_Studio_Pct,Verified,Verified_Studio_Pct,Anonymous,Anonymous_Studio_Pct,Email_password,Email_password_Studio_Pct,Penn_key_sso,Penn_key_sso_Studio_Pct,Penn_mpm_sso,Penn_mpm_sso_Studio_Pct,Penn_sso,Penn_sso_Studio_Pct,Total,Total_Studio_Pct,Mild,Mild_Studio_Pct,Moderate,Moderate_Studio_Pct,Severe,Severe_Studio_Pct,No,No_Studio_Pct,Yes,Yes_Studio_Pct,Total,Total_Studio_Pct,Clinical,Clinical_Studio_Pct,Sub-clinical,Sub-clinical_Studio_Pct,Care_manager,Care_manager_Studio_Pct,Chaplain,Chaplain_Studio_Pct,Clinician,Clinician_Studio_Pct,Coach,Coach_Studio_Pct,Other,Other_Studio_Pct,Peer,Peer_Studio_Pct,Psychiatrist,Psychiatrist_Studio_Pct,Psychologist,Psychologist_Studio_Pct,Undefined,Undefined_Studio_Pct,Total,Total_Studio_Pct,Total,Total_Studio_Pct,App,App_Studio_Pct,Article,Article_Studio_Pct,Podcast,Podcast_Studio_Pct,Video,Video_Studio_Pct,Worksheet,Worksheet_Studio_Pct
Year,Screening Session,Connect with Support,In the Studio,On Your Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,0,0,0,1,1155.0,0.11248539150759641,843.0,0.09496451503886448,312.0,0.22429906542056074,843.0,0.09496451503886448,0.0,,160.0,0.24060150375939848,0.0,0.0,152.0,0.23824451410658307,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,3275.0,1.0,0.0,,846.0,1.0,1338.0,1.0,1077.0,1.0,14.0,1.0
2021,0,0,1,0,693.0,0.7294736842105263,455.0,0.8168761220825853,238.0,0.6055979643765903,455.0,0.8168761220825853,0.0,,138.0,0.6216216216216216,0.0,,100.0,0.5847953216374269,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,783.0,0.7414772727272727,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,0,0,1,1,257.0,0.27052631578947367,102.0,0.18312387791741472,155.0,0.3944020356234097,102.0,0.18312387791741472,0.0,,84.0,0.3783783783783784,0.0,,71.0,0.4152046783625731,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,273.0,0.2585227272727273,874.0,1.0,0.0,,194.0,1.0,508.0,1.0,170.0,1.0,2.0,1.0
2021,0,1,0,0,561.0,0.9807692307692307,489.0,0.9839034205231388,72.0,0.96,489.0,0.9839034205231388,0.0,,33.0,0.9705882352941176,0.0,,39.0,0.9512195121951219,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,632.0,0.9708141321044547,520.0,0.9774436090225563,112.0,0.9411764705882353,26.0,1.0,3.0,1.0,495.0,0.9763313609467456,82.0,0.9213483146067416,0.0,,1.0,1.0,25.0,1.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021,0,1,0,1,11.0,0.019230769230769232,8.0,0.01609657947686117,3.0,0.04,8.0,0.01609657947686117,0.0,,1.0,0.029411764705882353,0.0,,2.0,0.04878048780487805,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,19.0,0.029185867895545316,12.0,0.022556390977443608,7.0,0.058823529411764705,0.0,0.0,0.0,0.0,12.0,0.023668639053254437,7.0,0.07865168539325842,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,15.0,1.0,0.0,,3.0,1.0,6.0,1.0,6.0,1.0,0.0,
2021,0,1,1,0,22.0,0.6666666666666666,12.0,0.8,10.0,0.5555555555555556,12.0,0.8,0.0,,7.0,0.5384615384615384,0.0,,3.0,0.6,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,20.0,0.46511627906976744,16.0,0.5925925925925926,4.0,0.25,0.0,0.0,0.0,,16.0,0.5925925925925926,4.0,0.2857142857142857,0.0,,0.0,,0.0,,0.0,,0.0,,21.0,0.28,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021,0,1,1,1,11.0,0.3333333333333333,3.0,0.2,8.0,0.4444444444444444,3.0,0.2,0.0,,6.0,0.46153846153846156,0.0,,2.0,0.4,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,23.0,0.5348837209302325,11.0,0.4074074074074074,12.0,0.75,2.0,1.0,0.0,,11.0,0.4074074074074074,10.0,0.7142857142857143,0.0,,0.0,,0.0,,0.0,,0.0,,54.0,0.72,110.0,1.0,0.0,,63.0,1.0,25.0,1.0,22.0,1.0,0.0,
2021,1,0,0,0,341.0,0.9266304347826086,166.0,0.9485714285714286,175.0,0.9067357512953368,166.0,0.9485714285714286,0.0,,89.0,0.898989898989899,0.0,,86.0,0.9148936170212766,347.0,0.917989417989418,171.0,0.9293478260869565,141.0,0.9038461538461539,35.0,0.9210526315789473,303.0,0.9181818181818182,44.0,0.9166666666666666,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,0,0,1,27.0,0.07336956521739131,9.0,0.05142857142857143,18.0,0.09326424870466321,9.0,0.05142857142857143,0.0,,10.0,0.10101010101010101,0.0,,8.0,0.0851063829787234,31.0,0.082010582010582,13.0,0.07065217391304347,15.0,0.09615384615384616,3.0,0.07894736842105263,27.0,0.08181818181818182,4.0,0.08333333333333333,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,91.0,1.0,0.0,,39.0,1.0,37.0,1.0,12.0,1.0,3.0,1.0
2021,1,0,1,0,25.0,0.5813953488372093,5.0,0.7142857142857143,20.0,0.5555555555555556,5.0,0.7142857142857143,0.0,,11.0,0.55,0.0,,9.0,0.5625,29.0,0.5918367346938775,20.0,0.6451612903225806,7.0,0.4666666666666667,2.0,0.6666666666666666,28.0,0.6511627906976745,1.0,0.16666666666666666,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,16.0,0.3137254901960784,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
