Entity,,,,,,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Group Sessions,Group Sessions,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views
Group,,,,,,Aggregate,Aggregate,Account Type,Account Type,Account Type,Account Type,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Aggregate,Aggregate,Triage Level,Triage Level,Triage Level,Triage Level,Triage Level,Triage Level,Crisis Flag,Crisis Flag,Crisis Flag,Crisis Flag,Aggregate,Aggregate,Clinical Level,Clinical Level,Clinical Level,Clinical Level,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Aggregate,Aggregate,Aggregate,Aggregate,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type
Metric,,,,,,Total,Total_Studio_Pct,Anonymous,Anonymous_Studio_Pct,Verified,Verified_Studio_Pct,Anonymous,Anonymous_Studio_Pct,Email_password,Email_password_Studio_Pct,Penn_key_sso,Penn_key_sso_Studio_Pct,Penn_mpm_sso,Penn_mpm_sso_Studio_Pct,Penn_sso,Penn_sso_Studio_Pct,Total,Total_Studio_Pct,Mild,Mild_Studio_Pct,Moderate,Moderate_Studio_Pct,Severe,Severe_Studio_Pct,No,No_Studio_Pct,Yes,Yes_Studio_Pct,Total,Total_Studio_Pct,Clinical,Clinical_Studio_Pct,Sub-clinical,Sub-clinical_Studio_Pct,Care_manager,Care_manager_Studio_Pct,Chaplain,Chaplain_Studio_Pct,Clinician,Clinician_Studio_Pct,Coach,Coach_Studio_Pct,Other,Other_Studio_Pct,Peer,Peer_Studio_Pct,Psychiatrist,Psychiatrist_Studio_Pct,Psychologist,Psychologist_Studio_Pct,Undefined,Undefined_Studio_Pct,Total,Total_Studio_Pct,Total,Total_Studio_Pct,App,App_Studio_Pct,Article,Article_Studio_Pct,Podcast,Podcast_Studio_Pct,Video,Video_Studio_Pct,Worksheet,Worksheet_Studio_Pct
Year,Month,Screening Session,Connect with Support,In the Studio,On Your Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,5,0,0,0,1,315.0,0.18907563025210083,206.0,0.16131558339859045,109.0,0.2802056555269923,206.0,0.16131558339859045,0.0,,11.0,0.2558139534883721,0.0,,98.0,0.2832369942196532,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,563.0,1.0,0.0,,250.0,1.0,170.0,1.0,104.0,1.0,39.0,1.0
2020,5,0,0,1,0,40.0,0.5882352941176471,0.0,0.0,40.0,0.5970149253731343,0.0,0.0,0.0,,5.0,1.0,0.0,,35.0,0.5645161290322581,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,5,0,0,1,1,28.0,0.4117647058823529,1.0,1.0,27.0,0.40298507462686567,1.0,1.0,0.0,,0.0,0.0,0.0,,27.0,0.43548387096774194,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,68.0,1.0,0.0,,40.0,1.0,12.0,1.0,11.0,1.0,5.0,1.0
2020,5,0,1,0,0,27.0,0.7714285714285715,22.0,0.7586206896551724,5.0,0.8333333333333334,22.0,0.7586206896551724,0.0,,3.0,0.75,0.0,,2.0,1.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,36.0,0.782608695652174,23.0,0.7419354838709677,13.0,0.8666666666666667,0.0,,0.0,,14.0,1.0,12.0,0.8571428571428571,0.0,,1.0,1.0,9.0,0.5294117647058824,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,
2020,5,0,1,0,1,8.0,0.22857142857142856,7.0,0.2413793103448276,1.0,0.16666666666666666,7.0,0.2413793103448276,0.0,,1.0,0.25,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,10.0,0.21739130434782608,8.0,0.25806451612903225,2.0,0.13333333333333333,0.0,,0.0,,0.0,0.0,2.0,0.14285714285714285,0.0,,0.0,0.0,8.0,0.47058823529411764,0.0,,0.0,,0.0,,8.0,1.0,0.0,,7.0,1.0,1.0,1.0,0.0,,0.0,
2020,5,0,1,1,0,1.0,0.14285714285714285,0.0,0.0,1.0,0.2,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,0.25,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,5,0,1,1,1,6.0,0.8571428571428571,2.0,1.0,4.0,0.8,2.0,1.0,0.0,,1.0,1.0,0.0,,3.0,0.75,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,3.0,1.0,2.0,1.0,1.0,1.0,0.0,,0.0,,2.0,1.0,1.0,1.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,13.0,1.0,0.0,,7.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0
2020,5,1,0,0,0,43.0,0.7543859649122807,16.0,0.6956521739130435,27.0,0.7941176470588235,16.0,0.6956521739130435,0.0,,5.0,0.8333333333333334,0.0,,22.0,0.7857142857142857,37.0,0.7551020408163265,24.0,0.7741935483870968,12.0,0.75,1.0,0.5,35.0,0.7608695652173914,2.0,0.6666666666666666,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2020,5,1,0,0,1,14.0,0.24561403508771928,7.0,0.30434782608695654,7.0,0.20588235294117646,7.0,0.30434782608695654,0.0,,1.0,0.16666666666666666,0.0,,6.0,0.21428571428571427,12.0,0.24489795918367346,7.0,0.22580645161290322,4.0,0.25,1.0,0.5,11.0,0.2391304347826087,1.0,0.3333333333333333,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,30.0,1.0,0.0,,19.0,1.0,8.0,1.0,0.0,,3.0,1.0
2020,5,1,0,1,0,3.0,0.42857142857142855,0.0,,3.0,0.42857142857142855,0.0,,0.0,,0.0,,0.0,,3.0,0.42857142857142855,1.0,0.3333333333333333,1.0,1.0,0.0,0.0,0.0,,1.0,0.3333333333333333,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
