Entity,,,,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Group Sessions,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views
Group,,,,Aggregate,Account Type,Account Type,Account Source,Account Source,Account Source,Account Source,Account Source,Aggregate,Triage Level,Triage Level,Triage Level,Crisis Flag,Crisis Flag,Aggregate,Clinical Level,Clinical Level,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Aggregate,Aggregate,Content Type,Content Type,Content Type,Content Type,Content Type
Metric,,,,Total,Anonymous,Verified,Anonymous,Email_password,Penn_key_sso,Penn_mpm_sso,Penn_sso,Total,Mild,Moderate,Severe,No,Yes,Total,Clinical,Sub-clinical,Care_manager,Chaplain,Clinician,Coach,Other,Peer,Psychiatrist,Psychologist,Undefined,Total,Total,App,Article,Podcast,Video,Worksheet
Year,Connect with Support,In the Studio,On Your Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,0,0,460.0,198.0,262.0,198.0,0.0,159.0,0.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,596.0,281.0,315.0,0.0,6.0,281.0,128.0,0.0,0.0,0.0,0.0,181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,1,0,1,19.0,3.0,16.0,3.0,0.0,7.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,9.0,30.0,0.0,1.0,9.0,7.0,0.0,0.0,0.0,0.0,22.0,0.0,56.0,4.0,30.0,12.0,6.0,4.0
2023,1,1,0,42.0,6.0,36.0,6.0,0.0,21.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,22.0,76.0,0.0,5.0,22.0,34.0,0.0,0.0,0.0,0.0,37.0,217.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,1,1,1,20.0,1.0,19.0,1.0,0.0,5.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,6.0,48.0,0.0,3.0,6.0,23.0,0.0,0.0,0.0,0.0,22.0,244.0,120.0,24.0,39.0,23.0,33.0,1.0
2024,0,0,0,743.0,246.0,497.0,246.0,0.0,235.0,0.0,262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,0,0,1,41.0,21.0,20.0,21.0,0.0,12.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,1.0,51.0,90.0,85.0,3.0
2024,0,1,0,291.0,32.0,259.0,32.0,0.0,94.0,0.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1059.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,0,1,1,10.0,2.0,8.0,2.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,459.0,169.0,1.0,31.0,15.0,121.0,1.0
2024,1,0,0,97.0,4.0,93.0,4.0,0.0,70.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,81.0,69.0,0.0,6.0,81.0,13.0,0.0,0.0,0.0,6.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,1,0,1,3.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,9.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,22.0,2.0,7.0,5.0,8.0,0.0
