,,Word_1,Word_2,Word_3,Word_4,Word_5,Word_6,Word_7,Word_8,Word_9,Word_10,Word_11,Word_12,Word_13,Word_14,Word_15,Word_16,Word_17,Word_18,Word_19,Word_20
Topic_13,value,0.03258466,0.032584507,0.021795038,0.02179495,0.021794789,0.021793345,0.01100583,0.011005657,0.011005577,0.0110055255,0.011005495,0.0110054575,0.011005442,0.011005402,0.011005394,0.011005386,0.011005347,0.011005333,0.011005309,0.011005294
Topic_14,word,technique,daily,good,anxiety,self,honestly,suggestion,minute,holiday,need,feeling,discussion,current,sign,relevant,see,tip,identify,group,well
Topic_14,value,0.03122983,0.031229174,0.031228207,0.031227788,0.031227648,0.015770009,0.01576977,0.015769592,0.015769372,0.015769368,0.015769282,0.015769267,0.015769243,0.015769243,0.015769232,0.01576923,0.015769135,0.0157691,0.015769053,0.015769048
Topic_15,word,grief,personal,people,information,skill,minute,example,cancer,work,highlight,link,anonymous,network,lot,unpacked,social,experience,boundary,moment,reminder
Topic_15,value,0.06517233,0.048959848,0.032746267,0.016536701,0.016536638,0.0165366,0.016536457,0.016536448,0.016536316,0.0165363,0.016536182,0.01653613,0.016536124,0.016536087,0.016536057,0.016536035,0.016535962,0.016535953,0.016535772,0.016535707
Topic_16,word,work,long,struggle,deal,define,make,talk,acceptance,grief,real,session,still,stimulus,balance,year,concrete,value,parent,tip,intentionality
Topic_16,value,0.02919817,0.0219348,0.014672038,0.014671736,0.014671681,0.014671494,0.014671378,0.0146712465,0.014671236,0.014671186,0.01467086,0.014670034,0.007408692,0.0074086417,0.0074086376,0.0074086376,0.0074086287,0.007408627,0.007408575,0.0074085705
Topic_17,word,trauma,work,great,talk,deal,well,cope,info,life,make,present,skill,concept,relationship,answer,prioritization,caregiver,know,navigate,balance
Topic_17,value,0.03060347,0.03060312,0.030602701,0.03060269,0.030601628,0.020469975,0.020469911,0.02046954,0.020469392,0.020469163,0.020469075,0.020468824,0.010336582,0.010336472,0.010336455,0.010336409,0.010336386,0.010336378,0.010336345,0.010336292
Topic_18,word,session,help,time,stress,self,look,care,boundary,break,information,need,grief,management,title,relationship,change,different,question,excellent,meet
Topic_18,value,0.027435247,0.022877336,0.022877047,0.022876525,0.018319188,0.013763014,0.01376299,0.0137625355,0.013762532,0.013762511,0.011695567,0.011579319,0.009205846,0.009205814,0.009205787,0.00920575,0.00920573,0.009205712,0.009205701,0.009205696
Topic_19,word,anxiety,suggest,assessement,strategy,tip,quick,cobalt,need,base,emotion,stop,smoothing,effect,negative,holiday,worry,get,slide,deal,reduce
Topic_19,value,0.059393246,0.0298465,0.029845176,0.029845014,0.029844657,0.029843971,0.02984396,0.029843647,0.02984335,0.029843157,0.015070898,0.015070742,0.015070645,0.015070643,0.015070525,0.015070523,0.015070504,0.015070391,0.015070377,0.0150702065
Topic_20,word,know,include,link,need,care,help,cobalt,self,feel,long,sleep,hear,intuitive,wish,stressed,always,expert,calendar,discuss,minute
Topic_20,value,0.0237235,0.023723207,0.023722926,0.023722721,0.023722379,0.023722338,0.023722077,0.023721792,0.018792223,0.018124886,0.011979273,0.011979152,0.011978954,0.011978906,0.011978896,0.011978877,0.011978833,0.011978807,0.011978745,0.011978691
Topic_21,word,time,night,event,wake,grief,information,talk,long,say,interested,make,discussion,session,terror,maybe,short,decision,afterward,experience,son
Topic_21,value,0.020942504,0.017088074,0.015735507,0.015734734,0.015734132,0.013720215,0.013618144,0.013421258,0.013253199,0.013111678,0.01291556,0.012529151,0.011068609,0.010821936,0.010697941,0.009318061,0.007945783,0.007945743,0.007945715,0.007945639
Topic_22,word,find,end,day,stress,difficult,new,way,time,learn,event,hangout,toxic,go,discuss,get,one,attend,lot,feel,friendship
Topic_22,value,0.024264496,0.024263728,0.018228311,0.018227948,0.018227812,0.018227505,0.018227266,0.018226758,0.012192411,0.0121923825,0.012192375,0.012192369,0.012192174,0.012192148,0.01219213,0.012192044,0.01219204,0.012192035,0.012191991,0.012191974
Topic_23,word,talk,habit,keep,many,find,change,option,life,everyday,perhaps,stress,back,cope,interested,sleep,age,therapist,bit,wellfocuse,intellectual
Topic_23,value,0.026844352,0.020968312,0.01795592,0.017955841,0.017955804,0.01795495,0.017954908,0.017954659,0.017954558,0.017954411,0.01795435,0.017954146,0.01795403,0.013105904,0.012260408,0.009066813,0.009066713,0.009066713,0.009066698,0.009066692
Topic_24,word,learn,skill,day,plan,socially,change,social,minute,seek,help,life,give,opener,feel,blue,motivated,strategy,focus,know,go
Topic_24,value,0.031236777,0.031235317,0.020893574,0.020893486,0.020893056,0.02089273,0.020892715,0.020892406,0.020892037,0.020891713,0.020890398,0.0105504645,0.0105503425,0.010550282,0.010550244,0.010550244,0.010550215,0.010550177,0.01055016,0.010550153
Topic_25,word,recommendation,loss,sleep,apnea,positive,friend,time,self,learn,living,realize,participate,struggle,improve,want,compassion,presenter,hospice,questionnaire,program
Topic_25,value,0.051114094,0.046573795,0.025685798,0.025684427,0.01675149,0.016510464,0.01636348,0.016109735,0.013959067,0.012970657,0.012970519,0.012970351,0.012970278,0.012970187,0.012970146,0.012970029,0.012970022,0.012969986,0.012969945,0.012969917
Topic_26,word,make,go,use,deal,guilty,last,year,tool,depression,copy,cope,possible,try,time,handle,self,long,get,little,mechanism
Topic_26,value,0.029883849,0.029883325,0.02988237,0.024847474,0.0150905615,0.01509054,0.0150904525,0.015090437,0.015090267,0.015090186,0.015090088,0.015090046,0.015090029,0.015090029,0.015089969,0.015089912,0.015089893,0.015089853,0.015089835,0.015089824
Topic_27,word,anxiety,dear,mother,advice,challenging,love,shift,parenting,emotion,recently,pm,lose,explanation,recommedation,self,well,relevant,guide,end,speak
Topic_27,value,0.030291453,0.015296884,0.015296845,0.015296793,0.015296771,0.015296646,0.015296633,0.015296578,0.015296535,0.015296442,0.015296423,0.015296355,0.015296293,0.015296278,0.015296244,0.015296225,0.015296204,0.015296196,0.015296163,0.015296128
Topic_28,word,understand,make,change,think,meditation,stress,like,hear,caregiver,emotional,save,often,psychology,purchase,event,remorse,ask,teach,trauma,question
Topic_28,value,0.02420481,0.02372143,0.023713283,0.023506265,0.012484595,0.012464933,0.012222576,0.012222485,0.012222474,0.012222437,0.01222242,0.012222371,0.012222325,0.012222314,0.012222236,0.012222208,0.012222087,0.012222076,0.012222068,0.012222067
Topic_29,word,recommendation,cope,recent,session,self,thing,approach,last,small,member,symptom,learn,fact,always,daily,interesting,hug,communicating,agree,changeable
Topic_29,value,0.03145039,0.02103611,0.0210359,0.021035671,0.019921396,0.013706929,0.010622905,0.010622812,0.010622801,0.010622723,0.010622718,0.010622669,0.010622491,0.01062248,0.010622454,0.01062245,0.0106224455,0.010622443,0.010622423,0.010622419
Topic_30,word,make,excuse,information,belief,involve,person,always,need,slide,recognize,stop,strategy,relationship,time,negative,personal,keep,dynamic,social,growth
Topic_30,value,0.035673536,0.02680188,0.026800256,0.017927155,0.017926846,0.017926838,0.017926712,0.01792662,0.017926292,0.017926065,0.01792595,0.017925309,0.017925166,0.017924134,0.009052484,0.009052424,0.009052378,0.009052304,0.009052294,0.009052274
Topic_31,word,connect,night,improve,workable,leave,restful,grief,find,really,deescalate,difference,terror,death,people,comment,strategy,handle,other,situation,relationship
Topic_31,value,0.03693977,0.036939204,0.018653465,0.018653229,0.01865319,0.018653147,0.018653134,0.01865311,0.018652905,0.018652793,0.01865279,0.01865268,0.018652676,0.018652653,0.018652594,0.018652586,0.018652573,0.018652411,0.01865239,0.018652203
Topic_32,word,tip,look,resource,emotion,crave,doctor,new,strategy,work,burnout,communication,always,thought,good,wait,check,cave,sure,little,physiological
Topic_32,value,0.042363957,0.042362276,0.021391686,0.02139153,0.021391517,0.021391442,0.021391384,0.021391334,0.021391064,0.02139083,0.021390792,0.021390773,0.021390725,0.021390721,0.02139058,0.021390496,0.021390444,0.021390434,0.021390196,0.021389857
Topic_33,word,brief,emotion,understand,loss,spouse,stage,different,opportunity,sharing,project,partly,mitigate,cover,lecture,large,intellectual,incorporate,course,easily,logical
Topic_33,value,0.034363627,0.034362633,0.03436227,0.03436167,0.034361552,0.034360208,0.034359224,0.034358636,0.034358192,0.0006739045,0.0006739045,0.0006739045,0.0006739045,0.0006739045,0.0006739045,0.0006739045,0.0006739045,0.0006739045,0.0006739045,0.0006739045
Topic_34,word,single,parent,sleep,divide,life,calm,child,skill,balance,stress,extremely,parenting,need,feel,handout,attention,overwhelmed,cope,tactic,use
Topic_34,value,0.038950175,0.038948998,0.03202106,0.019668255,0.01966785,0.0196678,0.019667732,0.019667584,0.019667493,0.019667454,0.01966738,0.019667372,0.0196673,0.019667203,0.019667095,0.019667057,0.019667031,0.01966689,0.019666722,0.019666517
Topic_35,word,work,new,time,learn,session,year,tool,give,help,tip,communication,improve,long,perspective,able,family,parent,look,thing,relate
Topic_35,value,0.030409595,0.020305842,0.018957652,0.017504755,0.015254839,0.015254303,0.014155326,0.014001168,0.01389485,0.010203871,0.010203764,0.010203745,0.010203618,0.010203548,0.010203504,0.010203452,0.010203407,0.010203376,0.010203277,0.010203232
Topic_36,word,time,volunteer,session,community,deal,new,link,inspiration,involve,present,tip,want,stressful,discuss,already,work,emotion,appreciate,m,finally
Topic_36,value,0.051819734,0.02597344,0.019512651,0.019512337,0.015252094,0.013051722,0.013051719,0.013051717,0.013051609,0.01305159,0.013051578,0.013051487,0.013051291,0.013051091,0.013050945,0.013050652,0.009364441,0.006590803,0.006590663,0.006590635
Topic_37,word,self,time,anxiety,basic,year,explanation,feel,ok,rewatch,challenge,brief,transcript,do,s,suffer,people,save,get,speaker,end
Topic_37,value,0.02981317,0.028315306,0.02831528,0.014298272,0.014298104,0.014297658,0.014297607,0.0142976055,0.014297597,0.014297536,0.014297523,0.0142975,0.014297479,0.014297472,0.014297443,0.014297435,0.014297395,0.01429739,0.014297359,0.014297342
Topic_38,word,communication,begin,good,life,opportunity,none,supportive,status,still,time,year,meet,attach,support,end,session,intelligence,well,applicable,emotional
Topic_38,value,0.034421608,0.017382558,0.017382016,0.017381975,0.01738178,0.017381731,0.017381677,0.017381676,0.017381618,0.017381614,0.01738158,0.017381575,0.017381469,0.017381467,0.01738131,0.017381268,0.017381264,0.017381191,0.01738111,0.017381104
Topic_39,word,learn,well,grief,stressful,relaxed,feel,weight,keep,life,maybe,sure,balance,time,broad,know,title,example,job,material,present
Topic_39,value,0.045286223,0.030292071,0.030291842,0.015297095,0.015296956,0.015296903,0.015296825,0.015296823,0.015296806,0.015296759,0.015296566,0.015296526,0.015296498,0.015296496,0.01529643,0.015296369,0.015296312,0.015296306,0.015296271,0.0152961835
Topic_40,word,sense,prior,work,engaging,family,attend,practical,dynamic,session,make,learn,lot,engage,home,experience,burnout,breath,interesting,presenter,anxiety
Topic_40,value,0.0374306,0.025037013,0.025036596,0.025036316,0.025036147,0.025036061,0.025035273,0.025035195,0.025035122,0.025034918,0.012642627,0.012642594,0.012642539,0.012642514,0.01264243,0.0126422765,0.012642262,0.012642244,0.012642234,0.012642198
Topic_41,word,stress,tip,minimize,issue,way,motivated,relaxation,tool,always,fall,helpful,experience,open,hard,suggest,sleep,life,combat,gain,overcome
Topic_41,value,0.06028554,0.045289338,0.045288123,0.03029308,0.015296891,0.01529668,0.015296437,0.015296433,0.015296379,0.015296358,0.015296317,0.015296303,0.015296264,0.015296237,0.0152961975,0.01529611,0.015296081,0.01529599,0.015295914,0.01529585
Topic_42,word,learn,look,shame,time,way,stress,recommendation,grief,anonymity,stressor,manage,remember,mentally,effective,back,reaction,give,help,forward,think
Topic_42,value,0.040438723,0.0404368,0.027048359,0.027048124,0.027047444,0.027046736,0.027046451,0.02704626,0.027045418,0.013658227,0.0136582265,0.013658223,0.013658113,0.013658001,0.013657954,0.013657825,0.013657762,0.013657702,0.013657695,0.013657652
Topic_43,word,home,maintain,life,trick,segment,boundary,sure,cope,employe,currently,other,grief,chore,avoid,family,crisis,scheduling,focus,flexibility,use
Topic_43,value,0.044677325,0.022559246,0.02255913,0.02255911,0.022558996,0.022558972,0.02255882,0.022558698,0.022558527,0.022558428,0.022558395,0.022558155,0.022558028,0.022557842,0.022557775,0.02255774,0.022557328,0.022557318,0.022556746,0.022555478
Topic_44,word,anxiety,step,develop,conversation,patient,interesting,family,help,connection,community,long,information,opposite,well,member,relationship,adolescent,study,session,interaction
Topic_44,value,0.03524589,0.023576206,0.023576008,0.023575861,0.023575753,0.023575714,0.023575338,0.02357446,0.023574369,0.023574311,0.01190481,0.011904754,0.011904739,0.0119047165,0.011904586,0.011904544,0.011904533,0.011904533,0.011904462,0.0119044045
Topic_45,word,death,feeling,cope,observe,information,discuss,unique,excellent,new,pass,effectively,family,transition,recent,present,organization,perspective,rationale,criticism,group
Topic_45,value,0.036939677,0.036939602,0.03693832,0.018653711,0.018653413,0.018653212,0.018653141,0.018653018,0.01865288,0.01865285,0.018652804,0.0186528,0.018652773,0.018652707,0.01865267,0.018652625,0.018652625,0.018652607,0.018652588,0.018652556
Topic_46,word,work,feel,use,impact,life,allow,provide,help,advice,school,post,covid,specific,stress,need,return,parent,strategy,m,think
Topic_46,value,0.045994014,0.024018314,0.01720185,0.014399415,0.014399242,0.014399208,0.014399108,0.014399041,0.014398959,0.014398877,0.014398875,0.01439873,0.014398224,0.01439778,0.01439776,0.010419458,0.0103951795,0.009580329,0.009479676,0.007686317
Topic_47,word,back,one,hear,recent,lose,loss,stress,maybe,subject,say,interested,information,audience,process,read,caregiving,reflection,issue,experience,cancer
Topic_47,value,0.02506477,0.01676481,0.016764788,0.016764522,0.016764253,0.016763538,0.016594756,0.013641453,0.011517078,0.011109913,0.01109432,0.010611964,0.008465639,0.008465561,0.0084655145,0.008465479,0.00846543,0.00846541,0.008465407,0.008465374
Topic_48,word,mindfulness,personal,year,recognition,life,need,balance,interrupt,make,grief,different,overall,hygiene,perspective,sleep,seminar,death,goal,daily,anniversary
Topic_48,value,0.046690326,0.046687648,0.03122931,0.03122879,0.031228632,0.031228436,0.031227548,0.015769895,0.015769744,0.015769653,0.015769353,0.015769219,0.015769137,0.015769118,0.015769029,0.015768941,0.015768861,0.01576886,0.015768852,0.015768832
Topic_49,word,time,learn,present,people,work,balance,real,valid,session,great,often,informative,make,specific,management,kindly,helpful,various,reflect,attend
Topic_49,value,0.032940872,0.032940302,0.022033453,0.022032283,0.022031792,0.022031575,0.011125909,0.011125719,0.011125653,0.011125645,0.011125638,0.011125519,0.0111254975,0.011125494,0.011125481,0.011125459,0.011125446,0.011125431,0.011125408,0.011125362
