,source,target,color,path,label,value,level
672,15,20,"rgba(192,192,192,0.2)",severe-->moderately_severe-->severe-->inconclusive-->inconclusive,severe-->moderately_severe-->severe-->inconclusive-->inconclusive,2,3
673,16,20,"rgba(192,192,192,0.2)",severe-->moderately_severe-->inconclusive-->inconclusive-->inconclusive,severe-->moderately_severe-->inconclusive-->inconclusive-->inconclusive,10,3
674,13,17,"rgba(0,0,255,0.2)",severe-->severe-->mild-->no_symptoms-->severe,severe-->severe-->mild-->no_symptoms-->severe,4,3
675,13,18,"rgba(255,128,0,0.2)",severe-->severe-->mild-->followup_sensitivity-->severe,severe-->severe-->mild-->followup_sensitivity-->severe,1,3
676,14,17,"rgba(0,0,255,0.2)",severe-->severe-->moderate-->no_symptoms-->severe,severe-->severe-->moderate-->no_symptoms-->severe,15,3
677,14,18,"rgba(255,128,0,0.2)",severe-->severe-->moderate-->followup_sensitivity-->severe,severe-->severe-->moderate-->followup_sensitivity-->severe,6,3
678,14,19,"rgba(255,0,0,0.2)",severe-->severe-->moderate-->followup_efficiency-->severe,severe-->severe-->moderate-->followup_efficiency-->severe,2,3
679,14,20,"rgba(192,192,192,0.2)",severe-->severe-->moderate-->inconclusive-->inconclusive,severe-->severe-->moderate-->inconclusive-->inconclusive,1,3
680,15,17,"rgba(0,0,255,0.2)",severe-->severe-->severe-->no_symptoms-->severe,severe-->severe-->severe-->no_symptoms-->severe,54,3
681,15,18,"rgba(255,128,0,0.2)",severe-->severe-->severe-->followup_sensitivity-->severe,severe-->severe-->severe-->followup_sensitivity-->severe,21,3
682,15,19,"rgba(255,0,0,0.2)",severe-->severe-->severe-->followup_efficiency-->severe,severe-->severe-->severe-->followup_efficiency-->severe,53,3
683,15,20,"rgba(192,192,192,0.2)",severe-->severe-->severe-->inconclusive-->inconclusive,severe-->severe-->severe-->inconclusive-->inconclusive,2,3
684,16,20,"rgba(192,192,192,0.2)",severe-->severe-->inconclusive-->inconclusive-->inconclusive,severe-->severe-->inconclusive-->inconclusive-->inconclusive,10,3
685,16,20,"rgba(192,192,192,0.2)",severe-->inconclusive-->inconclusive-->inconclusive-->inconclusive,severe-->inconclusive-->inconclusive-->inconclusive-->inconclusive,25,3
