,source,target,color,path,label,value,level
293,3,11,"rgba(192,192,192,0.2)",moderate-->inconclusive-->severe-->no_symptoms-->inconclusive,inconclusive,1,1
294,3,11,"rgba(192,192,192,0.2)",moderate-->inconclusive-->inconclusive-->inconclusive-->inconclusive,inconclusive,32,1
295,4,7,"rgba(0,255,0,0.2)",severe-->mild-->mild-->no_symptoms-->mild,mild,5,1
296,4,7,"rgba(0,255,0,0.2)",severe-->mild-->moderate-->no_symptoms-->moderate,moderate,8,1
297,4,7,"rgba(0,255,0,0.2)",severe-->mild-->moderate-->followup_sensitivity-->moderate,moderate,1,1
298,4,7,"rgba(0,255,0,0.2)",severe-->mild-->severe-->no_symptoms-->moderate,moderate,8,1
299,4,7,"rgba(0,255,0,0.2)",severe-->mild-->severe-->no_symptoms-->severe,severe,1,1
300,4,7,"rgba(0,255,0,0.2)",severe-->mild-->severe-->followup_sensitivity-->moderate,moderate,2,1
301,4,7,"rgba(0,255,0,0.2)",severe-->mild-->severe-->followup_efficiency-->moderate,moderate,1,1
302,4,7,"rgba(0,255,0,0.2)",severe-->mild-->severe-->inconclusive-->inconclusive,inconclusive,1,1
303,4,7,"rgba(0,255,0,0.2)",severe-->mild-->inconclusive-->inconclusive-->inconclusive,inconclusive,1,1
304,4,8,"rgba(255,128,0,0.2)",severe-->moderate-->mild-->no_symptoms-->moderate,moderate,11,1
305,4,8,"rgba(255,128,0,0.2)",severe-->moderate-->mild-->followup_sensitivity-->moderate,moderate,1,1
306,4,8,"rgba(255,128,0,0.2)",severe-->moderate-->moderate-->no_symptoms-->moderate,moderate,27,1
307,4,8,"rgba(255,128,0,0.2)",severe-->moderate-->moderate-->followup_sensitivity-->moderate,moderate,6,1
308,4,8,"rgba(255,128,0,0.2)",severe-->moderate-->moderate-->followup_efficiency-->moderate,moderate,9,1
309,4,8,"rgba(255,128,0,0.2)",severe-->moderate-->moderate-->inconclusive-->inconclusive,inconclusive,2,1
310,4,8,"rgba(255,128,0,0.2)",severe-->moderate-->severe-->no_symptoms-->moderate,moderate,34,1
311,4,8,"rgba(255,128,0,0.2)",severe-->moderate-->severe-->no_symptoms-->severe,severe,4,1
312,4,8,"rgba(255,128,0,0.2)",severe-->moderate-->severe-->followup_sensitivity-->moderate,moderate,9,1
313,4,8,"rgba(255,128,0,0.2)",severe-->moderate-->severe-->followup_sensitivity-->severe,severe,1,1
314,4,8,"rgba(255,128,0,0.2)",severe-->moderate-->severe-->followup_efficiency-->moderate,moderate,9,1
315,4,8,"rgba(255,128,0,0.2)",severe-->moderate-->severe-->followup_efficiency-->severe,severe,4,1
316,4,8,"rgba(255,128,0,0.2)",severe-->moderate-->severe-->inconclusive-->inconclusive,inconclusive,2,1
317,4,8,"rgba(255,128,0,0.2)",severe-->moderate-->inconclusive-->inconclusive-->inconclusive,inconclusive,2,1
318,4,9,"rgba(204,0,102,0.2)",severe-->moderately_severe-->mild-->no_symptoms-->moderate,moderate,6,1
319,4,9,"rgba(204,0,102,0.2)",severe-->moderately_severe-->mild-->followup_sensitivity-->moderate,moderate,1,1
320,4,9,"rgba(204,0,102,0.2)",severe-->moderately_severe-->moderate-->no_symptoms-->moderate,moderate,33,1
321,4,9,"rgba(204,0,102,0.2)",severe-->moderately_severe-->moderate-->followup_sensitivity-->moderate,moderate,10,1
322,4,9,"rgba(204,0,102,0.2)",severe-->moderately_severe-->moderate-->followup_efficiency-->moderate,moderate,12,1
323,4,9,"rgba(204,0,102,0.2)",severe-->moderately_severe-->moderate-->inconclusive-->inconclusive,inconclusive,2,1
324,4,9,"rgba(204,0,102,0.2)",severe-->moderately_severe-->severe-->no_symptoms-->moderate,moderate,38,1
325,4,9,"rgba(204,0,102,0.2)",severe-->moderately_severe-->severe-->no_symptoms-->severe,severe,11,1
326,4,9,"rgba(204,0,102,0.2)",severe-->moderately_severe-->severe-->followup_sensitivity-->moderate,moderate,22,1
327,4,9,"rgba(204,0,102,0.2)",severe-->moderately_severe-->severe-->followup_sensitivity-->severe,severe,5,1
328,4,9,"rgba(204,0,102,0.2)",severe-->moderately_severe-->severe-->followup_efficiency-->moderate,moderate,26,1
329,4,9,"rgba(204,0,102,0.2)",severe-->moderately_severe-->severe-->followup_efficiency-->severe,severe,11,1
330,4,9,"rgba(204,0,102,0.2)",severe-->moderately_severe-->severe-->inconclusive-->inconclusive,inconclusive,2,1
331,4,9,"rgba(204,0,102,0.2)",severe-->moderately_severe-->inconclusive-->inconclusive-->inconclusive,inconclusive,10,1
332,4,10,"rgba(255,0,0,0.2)",severe-->severe-->mild-->no_symptoms-->severe,severe,4,1
333,4,10,"rgba(255,0,0,0.2)",severe-->severe-->mild-->followup_sensitivity-->severe,severe,1,1
334,4,10,"rgba(255,0,0,0.2)",severe-->severe-->moderate-->no_symptoms-->severe,severe,15,1
335,4,10,"rgba(255,0,0,0.2)",severe-->severe-->moderate-->followup_sensitivity-->severe,severe,6,1
336,4,10,"rgba(255,0,0,0.2)",severe-->severe-->moderate-->followup_efficiency-->severe,severe,2,1
337,4,10,"rgba(255,0,0,0.2)",severe-->severe-->moderate-->inconclusive-->inconclusive,inconclusive,1,1
338,4,10,"rgba(255,0,0,0.2)",severe-->severe-->severe-->no_symptoms-->severe,severe,54,1
339,4,10,"rgba(255,0,0,0.2)",severe-->severe-->severe-->followup_sensitivity-->severe,severe,21,1
340,4,10,"rgba(255,0,0,0.2)",severe-->severe-->severe-->followup_efficiency-->severe,severe,53,1
341,4,10,"rgba(255,0,0,0.2)",severe-->severe-->severe-->inconclusive-->inconclusive,inconclusive,2,1
342,4,10,"rgba(255,0,0,0.2)",severe-->severe-->inconclusive-->inconclusive-->inconclusive,inconclusive,10,1
343,4,11,"rgba(192,192,192,0.2)",severe-->inconclusive-->inconclusive-->inconclusive-->inconclusive,inconclusive,25,1
344,6,12,"rgba(0,0,255,0.2)",mild-->no_symptoms-->no_symptoms-->no_symptoms-->mild,mild,47,2
345,6,12,"rgba(0,0,255,0.2)",mild-->no_symptoms-->no_symptoms-->followup_sensitivity-->moderate,moderate,2,2
346,6,12,"rgba(0,0,255,0.2)",mild-->no_symptoms-->no_symptoms-->inconclusive-->inconclusive,inconclusive,1,2
347,6,13,"rgba(0,255,0,0.2)",mild-->no_symptoms-->mild-->no_symptoms-->mild,mild,125,2
348,6,13,"rgba(0,255,0,0.2)",mild-->no_symptoms-->mild-->followup_sensitivity-->moderate,moderate,9,2
349,6,13,"rgba(0,255,0,0.2)",mild-->no_symptoms-->mild-->followup_efficiency-->moderate,moderate,4,2
350,6,13,"rgba(0,255,0,0.2)",mild-->no_symptoms-->mild-->inconclusive-->inconclusive,inconclusive,1,2
351,6,14,"rgba(255,128,0,0.2)",mild-->no_symptoms-->moderate-->no_symptoms-->moderate,moderate,13,2
352,6,14,"rgba(255,128,0,0.2)",mild-->no_symptoms-->moderate-->followup_sensitivity-->moderate,moderate,2,2
353,6,14,"rgba(255,128,0,0.2)",mild-->no_symptoms-->moderate-->followup_efficiency-->moderate,moderate,1,2
354,6,14,"rgba(255,128,0,0.2)",mild-->no_symptoms-->moderate-->inconclusive-->inconclusive,inconclusive,1,2
355,6,15,"rgba(255,0,0,0.2)",mild-->no_symptoms-->severe-->no_symptoms-->moderate,moderate,1,2
356,6,16,"rgba(192,192,192,0.2)",mild-->no_symptoms-->inconclusive-->inconclusive-->inconclusive,inconclusive,4,2
357,7,12,"rgba(0,0,255,0.2)",mild-->mild-->no_symptoms-->no_symptoms-->mild,mild,77,2
358,7,12,"rgba(0,0,255,0.2)",mild-->mild-->no_symptoms-->followup_sensitivity-->moderate,moderate,3,2
359,7,12,"rgba(0,0,255,0.2)",mild-->mild-->no_symptoms-->followup_efficiency-->moderate,moderate,4,2
360,7,12,"rgba(0,0,255,0.2)",mild-->mild-->no_symptoms-->inconclusive-->inconclusive,inconclusive,2,2
361,7,13,"rgba(0,255,0,0.2)",mild-->mild-->mild-->no_symptoms-->mild,mild,251,2
362,7,13,"rgba(0,255,0,0.2)",mild-->mild-->mild-->followup_sensitivity-->moderate,moderate,45,2
363,7,13,"rgba(0,255,0,0.2)",mild-->mild-->mild-->followup_efficiency-->moderate,moderate,26,2
364,7,13,"rgba(0,255,0,0.2)",mild-->mild-->mild-->inconclusive-->inconclusive,inconclusive,6,2
365,7,14,"rgba(255,128,0,0.2)",mild-->mild-->moderate-->no_symptoms-->moderate,moderate,43,2
366,7,14,"rgba(255,128,0,0.2)",mild-->mild-->moderate-->followup_sensitivity-->moderate,moderate,13,2
367,7,14,"rgba(255,128,0,0.2)",mild-->mild-->moderate-->followup_efficiency-->moderate,moderate,7,2
368,7,15,"rgba(255,0,0,0.2)",mild-->mild-->severe-->no_symptoms-->moderate,moderate,2,2
369,7,15,"rgba(255,0,0,0.2)",mild-->mild-->severe-->followup_sensitivity-->moderate,moderate,1,2
370,7,15,"rgba(255,0,0,0.2)",mild-->mild-->severe-->followup_efficiency-->moderate,moderate,2,2
371,7,16,"rgba(192,192,192,0.2)",mild-->mild-->inconclusive-->no_symptoms-->inconclusive,inconclusive,1,2
372,7,16,"rgba(192,192,192,0.2)",mild-->mild-->inconclusive-->inconclusive-->inconclusive,inconclusive,13,2
373,8,12,"rgba(0,0,255,0.2)",mild-->moderate-->no_symptoms-->no_symptoms-->moderate,moderate,13,2
374,8,12,"rgba(0,0,255,0.2)",mild-->moderate-->no_symptoms-->followup_sensitivity-->moderate,moderate,1,2
375,8,12,"rgba(0,0,255,0.2)",mild-->moderate-->no_symptoms-->followup_efficiency-->moderate,moderate,2,2
376,8,12,"rgba(0,0,255,0.2)",mild-->moderate-->no_symptoms-->inconclusive-->inconclusive,inconclusive,1,2
377,8,13,"rgba(0,255,0,0.2)",mild-->moderate-->mild-->no_symptoms-->moderate,moderate,62,2
378,8,13,"rgba(0,255,0,0.2)",mild-->moderate-->mild-->followup_sensitivity-->moderate,moderate,8,2
379,8,13,"rgba(0,255,0,0.2)",mild-->moderate-->mild-->followup_efficiency-->moderate,moderate,10,2
380,8,13,"rgba(0,255,0,0.2)",mild-->moderate-->mild-->inconclusive-->inconclusive,inconclusive,2,2
381,8,14,"rgba(255,128,0,0.2)",mild-->moderate-->moderate-->no_symptoms-->moderate,moderate,23,2
382,8,14,"rgba(255,128,0,0.2)",mild-->moderate-->moderate-->followup_sensitivity-->moderate,moderate,2,2
383,8,14,"rgba(255,128,0,0.2)",mild-->moderate-->moderate-->followup_efficiency-->moderate,moderate,8,2
384,8,15,"rgba(255,0,0,0.2)",mild-->moderate-->severe-->no_symptoms-->moderate,moderate,2,2
385,8,15,"rgba(255,0,0,0.2)",mild-->moderate-->severe-->followup_sensitivity-->moderate,moderate,1,2
386,8,15,"rgba(255,0,0,0.2)",mild-->moderate-->severe-->followup_efficiency-->moderate,moderate,1,2
387,8,16,"rgba(192,192,192,0.2)",mild-->moderate-->inconclusive-->inconclusive-->inconclusive,inconclusive,5,2
388,9,12,"rgba(0,0,255,0.2)",mild-->moderately_severe-->no_symptoms-->no_symptoms-->moderate,moderate,4,2
389,9,13,"rgba(0,255,0,0.2)",mild-->moderately_severe-->mild-->no_symptoms-->moderate,moderate,6,2
